repo_id,repo_slug,cell,task,model,prompt_version,label,reason,input_tokens,output_tokens,usd,called_utc
58c28f9e1f9c1404b9d4287aed4d9280,tranquil-portfolio,Site and portfolio,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'Portfolio' plainly names the software's artefact/domain.,16,53,0.000562,2026-09-13T08:38:16Z
4d79dce0d575105163f2c8b40b1d7b13,zawa-studio-e-commerce,Creative and media,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'e-commerce' plainly names the software's function/domain.,19,51,0.000548,2026-09-13T08:38:16Z
eb9b7b17b9e373d48ef90807f1fa27d1,person-score-lookup,Unclassified,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'score' and 'lookup' plainly name the function performed,14,51,0.000538,2026-09-13T08:38:16Z
b9b1dcbe0e70b10d7e99ea61c3489efd,funda-resume-craft,Business and clients,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'resume' and 'craft' plainly name a resume-building function.,15,53,0.000560,2026-09-13T08:38:16Z
fa1cbd4782479f9d2d4b98ef05579ec9,webauditreporter,Unclassified,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),"'web', 'audit', 'reporter' plainly name the function: web audit reports",13,59,0.000616,2026-09-13T08:38:18Z
8ba9574398e99b51e6ff1e5863fecdaf,evidence-vault-query,Unclassified,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'evidence' and 'query' name the function; storage and retrieval of evidence,15,58,0.000610,2026-09-13T08:38:18Z
4f95c5a86ebfced316dba9cd3e080947,cam-location-keeper,Unclassified,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),"'location-keeper' plainly names tracking function, 'cam' names camera device.",31,58,0.000642,2026-09-13T08:38:18Z
5ceeff81e639863e2f6397abd433b1a5,prowordlz-model-website-yuvashree,Site and portfolio,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'model' and 'website' plainly name the software's artefact and domain.,22,54,0.000584,2026-09-13T08:38:18Z
37d8d0821f7eaa9bbe1104f61a36bd32,synchro-design-studio-97,Creative and media,namestyle,claude-sonnet-5,3,Suggestive (hints at the purpose: 'golden-hour-hairdresser'),'synchro' and 'design-studio' evoke collaborative design without naming exact function,27,68,0.000734,2026-09-13T08:38:20Z
95b1481389d9cb23cffabddd2ad1fbf1,step-up-style-2585805f-main,Unclassified,namestyle,claude-sonnet-5,3,Cannot tell,"""step-up-style"" is vague phrase, purpose unclear, plus builder hash fragment",29,51,0.000568,2026-09-13T08:38:20Z
07ea745b8fdc3cc3a466cfdc9a047b9e,turing_machine,Unclassified,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'Turing machine' plainly names the computational concept the software implements.,12,53,0.000554,2026-09-13T08:38:21Z
c55cca133fba7cac567562492bc2e257,lucia-piccardo-smile-design,Creative and media,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'smile-design' plainly names the dental/aesthetic function despite the person's name,37,59,0.000664,2026-09-13T08:38:21Z
dcf1fe15a769a73f61d999a3d91a21a3,solana-landing-rebuild-magic,Site and portfolio,namestyle,claude-sonnet-5,3,Cannot tell,Rebuild/magic are generic build words; Solana-landing gives unclear specific purpose,20,49,0.000530,2026-09-13T08:38:22Z
29b51b09b4fc2ff84ce7e9ad49f00cd9,robomaq-spark,Unclassified,namestyle,claude-sonnet-5,3,Suggestive (hints at the purpose: 'golden-hour-hairdresser'),"'Robomaq' and 'spark' evoke automation/energy metaphorically, no plain function word",14,73,0.000758,2026-09-13T08:38:22Z
acd2a56e6191a626350dcfc15b626acb,creator-adgen,Unclassified,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'adgen' plainly names ad generation function,13,47,0.000496,2026-09-13T08:38:22Z
3d630237d3f7acf8a9836b8e902d8354,mei-gestao-digital,Unclassified,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'gestao' (management) and 'digital' plainly name the software's function.,16,55,0.000582,2026-09-13T08:38:23Z
1cb8954be0dc0c83607643c29ad701de,educare-login-portal,Unclassified,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'login-portal' plainly names function; 'educare' hints education domain.,14,55,0.000578,2026-09-13T08:38:24Z
c48e0ca2e8847253cb6953892e509493,divieight-a,Unclassified,namestyle,claude-sonnet-5,3,Cannot tell,"Fragment-like name, unclear meaning or purpose after translation",12,40,0.000424,2026-09-13T08:38:24Z
c70e93c987846e59c962ef5100479862,auto-elegance-net,Unclassified,namestyle,claude-sonnet-5,3,Suggestive (hints at the purpose: 'golden-hour-hairdresser'),"'Auto' and 'elegance' hint at car styling, no plain function word",15,65,0.000680,2026-09-13T08:38:24Z
02aa8a0fb8d2ff1bed01d15a2465ee63,marchemamelles,Unclassified,namestyle,claude-sonnet-5,3,Cannot tell,"Unclear coined/foreign phrase, purpose not identifiable from name alone",13,45,0.000476,2026-09-13T08:38:25Z
b097058c5bdd2eae7fa7b0d7947fbd11,9knowledge8,Unclassified,namestyle,claude-sonnet-5,3,Cannot tell,"Fragment with digits, unclear meaning or function",14,35,0.000378,2026-09-13T08:38:26Z
f38264cb3552a2316d7836699774fc3d,nsuk-portal-mimic-e793d32a,Unclassified,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'Portal' names a website/system; 'mimic' clarifies it's a clone.,24,59,0.000638,2026-09-13T08:38:26Z
6ed2f3d2cffbb78897d8fd38271aa4eb,desk-dash-explorer,Trackers and dashboards,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'dash' (dashboard) plainly names function; 'explorer' reinforces navigation purpose.,16,65,0.000682,2026-09-13T08:38:26Z
d63b1ed46f2da88cc26a7cbcd8f8fadb,fixmymobile,Unclassified,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'fix' plus 'mobile' names a repair service for phones directly,13,55,0.000576,2026-09-13T08:38:27Z
7da99906f5df7e3b8ee1e8ca0cf07bcf,govcare-queue,Unclassified,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'queue' plainly names function; 'govcare' names domain/audience.,23,55,0.000596,2026-09-13T08:38:28Z
224cbf7cf8976fdc5c4fa02effe5c236,nextcafexr,Unclassified,namestyle,claude-sonnet-5,3,Cannot tell,Fragment run together; unclear meaning of 'cafexr' relation to software,13,44,0.000466,2026-09-13T08:38:28Z
0553700b986b0570c646a2e3e7e64ba5,majeed-s-medicine,Health and fitness,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),"'medicine' plainly names the domain, function word present",16,49,0.000522,2026-09-13T08:38:28Z
703d97f7e101f41c96cb51fd2694728c,future-forge,Generic or brand-style name,namestyle,claude-sonnet-5,3,Suggestive (hints at the purpose: 'golden-hour-hairdresser'),"'Forge' metaphorically evokes creation, no plain function word present.",11,63,0.000652,2026-09-13T08:38:28Z
cf7214897401fb6cd8fdb5960da1716c,skill-link-dashboard,Trackers and dashboards,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'link' and 'dashboard' plainly name function; skill names audience domain,16,57,0.000602,2026-09-13T08:38:30Z
fc1a67e901aa2bbba74e80f85d4c8838,techno-a-thon-website2,Site and portfolio,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'website' plainly names the artefact type,17,45,0.000484,2026-09-13T08:38:30Z
7142fe44497a800b537a52fa9c14175d,degen-web-builder,Unclassified,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),'web-builder' plainly names the function; 'degen' is decorative.,14,55,0.000578,2026-09-13T08:38:30Z
6424e8429c77a2aaa717b4415fb00f1f,krushi-connect,Unclassified,namestyle,claude-sonnet-5,3,Descriptive (says what it does: 'habit-tracker'),"'Krushi' (farming) plus 'connect' names domain and audience, descriptive.",13,61,0.000636,2026-09-13T08:38:30Z
