item_id,repo_slug,task,model,prompt_version,label,reason,input_tokens,output_tokens,usd,called_utc
9e0f70129d4701e8d19e2b5874738256,vlads.digital,audience,claude-sonnet-5,3,"Producer sector: for a business, clients or paying customers",'Digital' business naming pattern indicates a digital services company,1239,49,0.002968,2026-09-13T08:12:02Z
6c458b8e512de771002ff96fa1ffd3f8,pixel-perfect-flow,audience,claude-sonnet-5,3,Cannot tell from the name,"Generic design/workflow term, no business or community indicated",1243,39,0.002876,2026-09-13T08:12:04Z
74884de303fe49bd64a05d6b48a215e3,rohlik-group-vendor-hub,audience,claude-sonnet-5,3,"Producer sector: for a business, clients or paying customers",'Vendor hub' names a business function serving vendors for a company,1246,50,0.002992,2026-09-13T08:12:06Z
e4e6d9377e97db31917dc6dc829ac535,fit-studio-genesis,audience,claude-sonnet-5,3,"Producer sector: for a business, clients or paying customers","'Fit-studio' names a fitness studio business, indicating producer sector.",1242,54,0.003024,2026-09-13T08:12:08Z
69def0d236e629f31144c23387215003,hrms,audience,claude-sonnet-5,3,"Producer sector: for a business, clients or paying customers","HRMS refers to Human Resource Management System, a business function tool.",1236,51,0.002982,2026-09-13T08:12:10Z
0950ea40b2541bae9a97a425a97b7bd1,vonkam-automations,audience,claude-sonnet-5,3,"Producer sector: for a business, clients or paying customers",'automations' names a business offering automation services to clients,1240,45,0.002930,2026-09-13T08:12:12Z
113a58d0f1735a6db574e3e6360af68e,spinnenfluesterer,audience,claude-sonnet-5,3,"Producer sector: for a business, clients or paying customers","""Flüsterer"" (whisperer) names a specialist service, per rule 2.",1242,58,0.003064,2026-09-13T08:12:14Z
686ec2b0c1671e85ce5d9503b607f868,hazeapp,audience,claude-sonnet-5,3,Cannot tell from the name,"No business, community, or personal-use category indicated by the name alone.",1238,41,0.002886,2026-09-13T08:12:16Z
baa1ca00eea6e0e253b161bb6ccfe6f4,finance-flow-smart-plan,audience,claude-sonnet-5,3,Cannot tell from the name,"Generic personal finance/budget app name, no business or community indicated",1244,42,0.002908,2026-09-13T08:12:18Z
1a1bba05fc887096b26343ab8154e581,fujaursopastelaria,audience,claude-sonnet-5,3,"Producer sector: for a business, clients or paying customers","'pastelaria' names a pastry shop, a trade business",1242,49,0.002974,2026-09-13T08:12:20Z
8666a1cfa8c43876f3a8061f04ac26ec,hello-world-creator-c28d61e7,audience,claude-sonnet-5,3,Cannot tell from the name,"Generic demo/test name, no business or community indicated",1247,38,0.002874,2026-09-13T08:12:24Z
ac89c3b6787eaaca73f2648950b4f6b3,the5am,audience,claude-sonnet-5,3,Cannot tell from the name,"No business, community, or clear purpose indicated by the name itself.",1236,41,0.002882,2026-09-13T08:12:26Z
12a3ffb6cbeb23ede78fbc1fa4a3d5bf,pixel-perfect-portfolio-main,audience,claude-sonnet-5,3,Cannot tell from the name,"Personal portfolio site promoting an individual, neither household nor producer sector.",1270,46,0.003000,2026-09-13T08:12:28Z
60209e0f6fb4bc7b868ca9f3cb18cb5e,nantes-spot,audience,claude-sonnet-5,3,"Household sector: for the maker, their family, friends or a community, unpaid","Names a city's free public spots, a community resource for Nantes.",1239,55,0.003028,2026-09-13T08:12:30Z
4317ea88de8518c94161e9d90a46a393,sika,audience,claude-sonnet-5,3,Cannot tell from the name,"""sika"" gives no indication of business, community, or personal-use context.",1235,45,0.002920,2026-09-13T08:12:32Z
f99bfeecbeec93a07f67820c1e15ecca,portfolio,audience,claude-sonnet-5,3,Cannot tell from the name,"Personal portfolio site promotes a person, neither sector by itself.",1254,43,0.002938,2026-09-13T08:12:33Z
b67e0007043be90f5e624b71252185be,sarafoundation,audience,claude-sonnet-5,3,"Household sector: for the maker, their family, friends or a community, unpaid",'Foundation' names a charity/nonprofit community organization.,1249,55,0.003048,2026-09-13T08:12:35Z
abfc1bcb06a6020bac6bbd75de129ac2,rehman,audience,claude-sonnet-5,3,"Producer sector: for a business, clients or paying customers",Construction company name indicates a business offering services to clients,1265,46,0.002990,2026-09-13T08:12:37Z
7e43da3bc237004c0709839554b0b7a2,snore-detective-pro,audience,claude-sonnet-5,3,Cannot tell from the name,"Personal-use detection app (snoring), no business or community named.",1241,40,0.002882,2026-09-13T08:12:39Z
538d10ead885d6b5d7bb9ae505b9874f,ai-fitness-and-wellness-app,audience,claude-sonnet-5,3,Cannot tell from the name,"Personal-use fitness and wellness app, no business or community named",1247,41,0.002904,2026-09-13T08:12:41Z
a0e3a7078f9aaf25900c98f38d8ab3a6,campus-connect-hub,audience,claude-sonnet-5,3,Cannot tell from the name,"Campus app without business or community ownership named; institution, not maker's community.",1241,43,0.002912,2026-09-13T08:12:45Z
7cc8ed5cdd1bbaf25c40f912cf114c93,stylish-portfolio-ground,audience,claude-sonnet-5,3,Cannot tell from the name,"Personal portfolio site, promotes a person, neither sector",1244,41,0.002898,2026-09-13T08:12:47Z
186cf23d48ac1a97127387b3d92e5521,remix-of-extrahand-task-flow,audience,claude-sonnet-5,3,"Producer sector: for a business, clients or paying customers","'Task-flow' suggests business task management, akin to a service for clients.",1247,52,0.003014,2026-09-13T08:12:50Z
759fa1b92a49a3108baa0b2d2e34b783,kingdomnannies,audience,claude-sonnet-5,3,"Producer sector: for a business, clients or paying customers",Names a nanny staffing/agency business providing workers for clients,1240,50,0.002980,2026-09-13T08:12:51Z
f6f31af4c0b6922e5c3a4d1f4bed0a5d,lingua-assist,audience,claude-sonnet-5,3,Cannot tell from the name,"Personal-use language/assistant app, no business or community named",1263,39,0.002916,2026-09-13T08:12:53Z
3947ea42e104e52bfcd5f525244331d2,talky-insight-viz,audience,claude-sonnet-5,3,Cannot tell from the name,"Generic personal analytics/visualization tool, no business or community indicated",1241,44,0.002922,2026-09-13T08:12:55Z
ad6cd24bf420cc086da599562705cd8a,release-your-calm,audience,claude-sonnet-5,3,Cannot tell from the name,"Personal wellness/calm app, no business or community named",1239,38,0.002858,2026-09-13T08:12:57Z
353cb5e002458ff5f02529cac06ec0f6,examsnap-ai,audience,claude-sonnet-5,3,Cannot tell from the name,"Personal-use exam prep app, no business or community indicated by name.",1240,42,0.002900,2026-09-13T08:12:59Z
573ff93048b85607a59c05419bb3659f,superimune,audience,claude-sonnet-5,3,Cannot tell from the name,"No business, community, or personal-use indicator; unclear meaning without more context.",1236,46,0.002932,2026-09-13T08:13:01Z
593a7103717b0a34401efd6af261b2ea,delton-chatbot-v2,audience,claude-sonnet-5,3,Cannot tell from the name,"Generic chatbot app name, no business or community indicated",1243,39,0.002876,2026-09-13T08:13:03Z
cb7a17d14a85128997ceecf267ca597f,grand-moments-booking,audience,claude-sonnet-5,3,"Producer sector: for a business, clients or paying customers","'booking' indicates a venue or service booking system, a business function",1241,49,0.002972,2026-09-13T08:13:06Z
94b42e7bd13f630d056b56b42c4745fb,mood-weaver,audience,claude-sonnet-5,3,Cannot tell from the name,"Personal mood-tracking app, no business or community indicated",1239,40,0.002878,2026-09-13T08:13:08Z
ddf863429782a3e48fab892957d33cc5,chatapp,audience,claude-sonnet-5,3,Cannot tell from the name,"Generic chat app, no business or community indicated by name",1237,38,0.002854,2026-09-13T08:13:10Z
6b4be8ecad233754393ae7fdb15bf9fe,mavs-machine-test,audience,claude-sonnet-5,3,Cannot tell from the name,"Ambiguous name, no clear business or community indicator, likely a test/demo app.",1241,48,0.002962,2026-09-13T08:13:12Z
cc5dce7c5492a55f49299daf87d17d0c,startup-rag,audience,claude-sonnet-5,3,"Producer sector: for a business, clients or paying customers","'Startup' names a business context, indicating producer sector use.",1238,48,0.002956,2026-09-13T08:13:14Z
82ccc3243ba5d8d6718ed079b553b2d2,mibh,audience,claude-sonnet-5,3,Cannot tell from the name,"No business, community, or personal-use indicator in the name 'mibh'.",1236,44,0.002912,2026-09-13T08:13:16Z
9f8d68b6eb22687a95f2f0da0b918a4f,swipe-play-discover,audience,claude-sonnet-5,3,Cannot tell from the name,"Generic app-like name, no business or community indicated",1241,37,0.002852,2026-09-13T08:13:18Z
5437113d04630931411fd0ad1b4ac0a0,my-portfolio,audience,claude-sonnet-5,3,Cannot tell from the name,"Personal portfolio site promotes a person, neither sector by itself",1239,43,0.002908,2026-09-13T08:13:20Z
07816fa6bd9747ab6391bd55a14198f1,paginaqualivercopia,audience,claude-sonnet-5,3,Cannot tell from the name,"Name is unclear/ambiguous, no business or community terms identifiable",1242,45,0.002934,2026-09-13T08:13:22Z
5430488a622d884067e4431396647fc2,ascend-protocol,audience,claude-sonnet-5,3,Cannot tell from the name,"Generic name, no business or community indicator present",1240,35,0.002830,2026-09-13T08:13:24Z
